Kinetic    CSDA      
Energy     Range     
MeV        g/cm2     

 1.000E-02 6.243E-04 
 1.250E-02 8.870E-04 
 1.500E-02 1.187E-03 
 1.750E-02 1.522E-03 
 2.000E-02 1.892E-03 
 2.500E-02 2.728E-03 
 3.000E-02 3.686E-03 
 3.500E-02 4.758E-03 
 4.000E-02 5.940E-03 
 4.500E-02 7.224E-03 
 5.000E-02 8.606E-03 
 5.500E-02 1.008E-02 
 6.000E-02 1.165E-02 
 7.000E-02 1.503E-02 
 8.000E-02 1.873E-02 
 9.000E-02 2.271E-02 
 1.000E-01 2.697E-02 
 1.250E-01 3.866E-02 
 1.500E-01 5.166E-02 
 1.750E-01 6.577E-02 
 2.000E-01 8.082E-02 
 2.500E-01 1.132E-01 
 3.000E-01 1.481E-01 
 3.500E-01 1.848E-01 
 4.000E-01 2.230E-01 
 4.500E-01 2.622E-01 
 5.000E-01 3.022E-01 
 5.500E-01 3.429E-01 
 6.000E-01 3.840E-01 
 7.000E-01 4.672E-01 
 8.000E-01 5.511E-01 
 9.000E-01 6.352E-01 
 1.000E+00 7.192E-01 
 1.250E+00 9.275E-01 
 1.500E+00 1.132E+00 
 1.750E+00 1.333E+00 
 2.000E+00 1.528E+00 
 2.500E+00 1.907E+00 
 3.000E+00 2.268E+00 
 3.500E+00 2.614E+00 
 4.000E+00 2.946E+00 
 4.500E+00 3.264E+00 
 5.000E+00 3.571E+00 
 5.500E+00 3.867E+00 
 6.000E+00 4.153E+00 
 7.000E+00 4.697E+00 
 8.000E+00 5.208E+00 
 9.000E+00 5.689E+00 
 1.000E+01 6.145E+00 
 1.250E+01 7.189E+00 
 1.500E+01 8.119E+00 
 1.750E+01 8.957E+00 
 2.000E+01 9.719E+00 
 
