# BONE, CORTICAL (ICRP) from NIST Database
1.850e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 4.686e-02 3.500e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 1.202e-02 3.500e+00 0.000e+00 0.000e+00 0.000e+00
7.000e+00 2.998e-03 3.500e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 2.788e-02 3.500e+00 0.000e+00 0.000e+00 0.000e+00
1.200e+01 9.050e-05 3.500e+00 0.000e+00 0.000e+00 0.000e+00
1.500e+01 3.389e-03 3.500e+00 0.000e+00 0.000e+00 0.000e+00
1.600e+01 9.822e-05 3.500e+00 0.000e+00 0.000e+00 0.000e+00
2.000e+01 5.238e-03 3.500e+00 0.000e+00 0.000e+00 0.000e+00
3.000e+01 1.530e-06 3.500e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.941e+00 1.283e-02 3.736e+03 0.000e+00 3.730e+03
1.020e-03 1.934e+00 1.324e-02 3.548e+03 0.000e+00 3.539e+03
1.020e-03 1.934e+00 1.324e-02 3.548e+03 0.000e+00 3.539e+03
1.020e-03 1.934e+00 1.325e-02 3.545e+03 0.000e+00 3.539e+03
1.043e-03 1.926e+00 1.373e-02 3.344e+03 0.000e+00 3.335e+03
1.043e-03 1.926e+00 1.373e-02 3.344e+03 0.000e+00 3.335e+03
1.126e-03 1.897e+00 1.554e-02 2.729e+03 0.000e+00 2.719e+03
1.194e-03 1.875e+00 1.706e-02 2.337e+03 0.000e+00 2.326e+03
1.194e-03 1.875e+00 1.706e-02 2.337e+03 0.000e+00 2.326e+03
1.243e-03 1.859e+00 1.820e-02 2.098e+03 0.000e+00 2.090e+03
1.305e-03 1.838e+00 1.966e-02 1.843e+03 0.000e+00 1.846e+03
1.305e-03 1.838e+00 1.966e-02 1.854e+03 0.000e+00 1.846e+03
1.372e-03 1.816e+00 2.125e-02 1.622e+03 0.000e+00 1.616e+03
1.500e-03 1.773e+00 2.435e-02 1.276e+03 0.000e+00 1.275e+03
1.515e-03 1.768e+00 2.471e-02 1.242e+03 0.000e+00 1.240e+03
1.672e-03 1.714e+00 2.855e-02 9.480e+02 0.000e+00 9.450e+02
