# MUSCLE, STRIATED (ICRU) from NIST Database
1.040e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.012e-01 3.500e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 1.024e-02 3.500e+00 0.000e+00 0.000e+00 0.000e+00
7.000e+00 2.499e-03 3.500e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 4.556e-02 3.500e+00 0.000e+00 0.000e+00 0.000e+00
1.100e+01 3.480e-05 3.500e+00 0.000e+00 0.000e+00 0.000e+00
1.200e+01 8.227e-06 3.500e+00 0.000e+00 0.000e+00 0.000e+00
1.500e+01 6.457e-05 3.500e+00 0.000e+00 0.000e+00 0.000e+00
1.600e+01 1.559e-04 3.500e+00 0.000e+00 0.000e+00 0.000e+00
1.900e+01 7.673e-05 3.500e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.340e+00 1.340e-02 3.762e+03 0.000e+00 3.753e+03
1.020e-03 1.335e+00 1.388e-02 3.569e+03 0.000e+00 3.558e+03
1.072e-03 1.324e+00 1.516e-02 3.124e+03 0.000e+00 3.117e+03
1.072e-03 1.324e+00 1.516e-02 3.129e+03 0.000e+00 3.117e+03
1.126e-03 1.313e+00 1.654e-02 2.745e+03 0.000e+00 2.731e+03
1.243e-03 1.289e+00 1.966e-02 2.106e+03 0.000e+00 2.093e+03
1.305e-03 1.276e+00 2.138e-02 1.847e+03 0.000e+00 1.837e+03
1.305e-03 1.276e+00 2.138e-02 1.848e+03 0.000e+00 1.837e+03
1.372e-03 1.262e+00 2.329e-02 1.614e+03 0.000e+00 1.606e+03
1.500e-03 1.233e+00 2.703e-02 1.265e+03 0.000e+00 1.263e+03
1.515e-03 1.230e+00 2.747e-02 1.231e+03 0.000e+00 1.229e+03
1.672e-03 1.193e+00 3.218e-02 9.367e+02 0.000e+00 9.323e+02
1.846e-03 1.150e+00 3.745e-02 7.096e+02 0.000e+00 7.067e+02
2.000e-03 1.112e+00 4.214e-02 5.656e+02 0.000e+00 5.648e+02
2.038e-03 1.102e+00 4.329e-02 5.362e+02 0.000e+00 5.349e+02
